size = 500;time = 1000383643
size = 600;time = 1000383684
size = 700;time = 1000383735
size = 800;time = 1000383765
size = 900;time = 1000383822
size = 1000;time = 1000383851
size = 1100;time = 1000383889
size = 1200;time = 1000383948
size = 1300;time = 1000383990
size = 1400;time = 1000384039
size = 1500;time = 1000384082
size = 1600;time = 1000384132
size = 1700;time = 1000384176
size = 1800;time = 1000384243
size = 1900;time = 1000384292
size = 2000;time = 1000384314
size = 2100;time = 1000384378
size = 2200;time = 1000384403
size = 2300;time = 1000384505
size = 2400;time = 1000385007
size = 2500;time = 1000384740
size = 2600;time = 1000384710
size = 2700;time = 1000384789
size = 2800;time = 1000384676
size = 2900;time = 1000384713
size = 3000;time = 1000384763
size = 3100;time = 1000384815
size = 3200;time = 1000384855
size = 3300;time = 1000384908
size = 3400;time = 1000384975
size = 3500;time = 1000385028
size = 3600;time = 1000385077
size = 3700;time = 1000385100
size = 3800;time = 1000385149
size = 3900;time = 1000385210
size = 4000;time = 1000385264
size = 4100;time = 1000385290
size = 4200;time = 1000385308
size = 4300;time = 1000385354
size = 4400;time = 1000385407
size = 4500;time = 1000385473
size = 4600;time = 1000385552
size = 4700;time = 1000385579
size = 4800;time = 1000385642
size = 4900;time = 1000385706
size = 5000;time = 1000385726
size = 5100;time = 1000385746
size = 5200;time = 1000385798
size = 5300;time = 1000385806
size = 5400;time = 1000385875
size = 5500;time = 1000385946
size = 5600;time = 1000385991
size = 5700;time = 1000386043
size = 5800;time = 1000386085
size = 5900;time = 1000386115
size = 6000;time = 1000386182
size = 6100;time = 1000386233
size = 6200;time = 1000386224
size = 6300;time = 1000386378
size = 6400;time = 1000386375
size = 6500;time = 1000386390
size = 6600;time = 1000386466
size = 6700;time = 1000386541
size = 6800;time = 1000386607
size = 6900;time = 1000386763
size = 7000;time = 1000386683
size = 7100;time = 1000386709
size = 7200;time = 1000386759
size = 7300;time = 1000386760
size = 7400;time = 1000386791
size = 7500;time = 1000386841
size = 7600;time = 1000386948
size = 7700;time = 1000386994
size = 7800;time = 1000387010
size = 7900;time = 1000387080
size = 8000;time = 1000387028
size = 8100;time = 1000387169
size = 8200;time = 1000387157
size = 8300;time = 1000387274
size = 8400;time = 1000387273
size = 8500;time = 1000387293
size = 8600;time = 1000387367
size = 8700;time = 1000387470
size = 8800;time = 1000387602
size = 8900;time = 1000387542
size = 9000;time = 1000387692
size = 9100;time = 1000387679
size = 9200;time = 1000387721
size = 9300;time = 1000387795
size = 9400;time = 1000387809
size = 9500;time = 1000387845
size = 9600;time = 1000387888
size = 9700;time = 1000387997
size = 9800;time = 1000388018
size = 9900;time = 1000388048
size = 10000;time = 1000388110
