size = 500;time = 1000383475
size = 600;time = 1000383486
size = 700;time = 1000383495
size = 800;time = 1000383507
size = 900;time = 1000383518
size = 1000;time = 1000383539
size = 1100;time = 1000383556
size = 1200;time = 1000383562
size = 1300;time = 1000383574
size = 1400;time = 1000383584
size = 1500;time = 1000383597
size = 1600;time = 1000383607
size = 1700;time = 1000383621
size = 1800;time = 1000383633
size = 1900;time = 1000383645
size = 2000;time = 1000383676
size = 2100;time = 1000383698
size = 2200;time = 1000383711
size = 2300;time = 1000383720
size = 2400;time = 1000383734
size = 2500;time = 1000383742
size = 2600;time = 1000383755
size = 2700;time = 1000383767
size = 2800;time = 1000383775
size = 2900;time = 1000383791
size = 3000;time = 1000383800
size = 3100;time = 1000383811
size = 3200;time = 1000383825
size = 3300;time = 1000383838
size = 3400;time = 1000383852
size = 3500;time = 1000383866
size = 3600;time = 1000383879
size = 3700;time = 1000383892
size = 3800;time = 1000383905
size = 3900;time = 1000383931
size = 4000;time = 1000383967
size = 4100;time = 1000384001
size = 4200;time = 1000384015
size = 4300;time = 1000384024
size = 4400;time = 1000384041
size = 4500;time = 1000384048
size = 4600;time = 1000384075
size = 4700;time = 1000384092
size = 4800;time = 1000384080
size = 4900;time = 1000384097
size = 5000;time = 1000384105
size = 5100;time = 1000384121
size = 5200;time = 1000384133
size = 5300;time = 1000384146
size = 5400;time = 1000384159
size = 5500;time = 1000384180
size = 5600;time = 1000384178
size = 5700;time = 1000384195
size = 5800;time = 1000384207
size = 5900;time = 1000384220
size = 6000;time = 1000384229
size = 6100;time = 1000384240
size = 6200;time = 1000384255
size = 6300;time = 1000384270
size = 6400;time = 1000384283
size = 6500;time = 1000384305
size = 6600;time = 1000384313
size = 6700;time = 1000384324
size = 6800;time = 1000384337
size = 6900;time = 1000384438
size = 7000;time = 1000384501
size = 7100;time = 1000384386
size = 7200;time = 1000384400
size = 7300;time = 1000384415
size = 7400;time = 1000384422
size = 7500;time = 1000384464
size = 7600;time = 1000384455
size = 7700;time = 1000384475
size = 7800;time = 1000384534
size = 7900;time = 1000384560
size = 8000;time = 1000384589
size = 8100;time = 1000384629
size = 8200;time = 1000384659
size = 8300;time = 1000384682
size = 8400;time = 1000384671
size = 8500;time = 1000384725
size = 8600;time = 1000384804
size = 8700;time = 1000384808
size = 8800;time = 1000384922
size = 8900;time = 1000384860
size = 9000;time = 1000384778
size = 9100;time = 1000384780
size = 9200;time = 1000384783
size = 9300;time = 1000384802
size = 9400;time = 1000384814
size = 9500;time = 1000384934
size = 9600;time = 1000385020
size = 9700;time = 1000384904
size = 9800;time = 1000384870
size = 9900;time = 1000384881
size = 10000;time = 1000384889
