size = 500;time = 1000383469
size = 600;time = 1000383481
size = 700;time = 1000383488
size = 800;time = 1000383494
size = 900;time = 1000383501
size = 1000;time = 1000383528
size = 1100;time = 1000383547
size = 1200;time = 1000383556
size = 1300;time = 1000383565
size = 1400;time = 1000383574
size = 1500;time = 1000383582
size = 1600;time = 1000383590
size = 1700;time = 1000383602
size = 1800;time = 1000383610
size = 1900;time = 1000383618
size = 2000;time = 1000383664
size = 2100;time = 1000383698
size = 2200;time = 1000383708
size = 2300;time = 1000383717
size = 2400;time = 1000383729
size = 2500;time = 1000383739
size = 2600;time = 1000383744
size = 2700;time = 1000383753
size = 2800;time = 1000383764
size = 2900;time = 1000383772
size = 3000;time = 1000383777
size = 3100;time = 1000383789
size = 3200;time = 1000383797
size = 3300;time = 1000383803
size = 3400;time = 1000383811
size = 3500;time = 1000383824
size = 3600;time = 1000383833
size = 3700;time = 1000383840
size = 3800;time = 1000383851
size = 3900;time = 1000383889
size = 4000;time = 1000383943
size = 4100;time = 1000383998
size = 4200;time = 1000384013
size = 4300;time = 1000384022
size = 4400;time = 1000384031
size = 4500;time = 1000384040
size = 4600;time = 1000384046
size = 4700;time = 1000384061
size = 4800;time = 1000384084
size = 4900;time = 1000384080
size = 5000;time = 1000384093
size = 5100;time = 1000384106
size = 5200;time = 1000384115
size = 5300;time = 1000384127
size = 5400;time = 1000384133
size = 5500;time = 1000384145
size = 5600;time = 1000384159
size = 5700;time = 1000384168
size = 5800;time = 1000384174
size = 5900;time = 1000384182
size = 6000;time = 1000384202
size = 6100;time = 1000384207
size = 6200;time = 1000384219
size = 6300;time = 1000384227
size = 6400;time = 1000384232
size = 6500;time = 1000384250
size = 6600;time = 1000384253
size = 6700;time = 1000384263
size = 6800;time = 1000384279
size = 6900;time = 1000384288
size = 7000;time = 1000384298
size = 7100;time = 1000384306
size = 7200;time = 1000384320
size = 7300;time = 1000384332
size = 7400;time = 1000384339
size = 7500;time = 1000384351
size = 7600;time = 1000384361
size = 7700;time = 1000384386
size = 7800;time = 1000384439
size = 7900;time = 1000384496
size = 8000;time = 1000384554
size = 8100;time = 1000384617
size = 8200;time = 1000384669
size = 8300;time = 1000384684
size = 8400;time = 1000384691
size = 8500;time = 1000384708
size = 8600;time = 1000384724
size = 8700;time = 1000384759
size = 8800;time = 1000384727
size = 8900;time = 1000384753
size = 9000;time = 1000384764
size = 9100;time = 1000384764
size = 9200;time = 1000384786
size = 9300;time = 1000384805
size = 9400;time = 1000384814
size = 9500;time = 1000384824
size = 9600;time = 1000384824
size = 9700;time = 1000384834
size = 9800;time = 1000384841
size = 9900;time = 1000384861
size = 10000;time = 1000384881
