size = 500;time = 1000383491
size = 600;time = 1000383509
size = 700;time = 1000383518
size = 800;time = 1000383531
size = 900;time = 1000383548
size = 1000;time = 1000383581
size = 1100;time = 1000383599
size = 1200;time = 1000383614
size = 1300;time = 1000383626
size = 1400;time = 1000383640
size = 1500;time = 1000383656
size = 1600;time = 1000383670
size = 1700;time = 1000383698
size = 1800;time = 1000383705
size = 1900;time = 1000383714
size = 2000;time = 1000383762
size = 2100;time = 1000383798
size = 2200;time = 1000383814
size = 2300;time = 1000383828
size = 2400;time = 1000383844
size = 2500;time = 1000383859
size = 2600;time = 1000383874
size = 2700;time = 1000383889
size = 2800;time = 1000383903
size = 2900;time = 1000383919
size = 3000;time = 1000383936
size = 3100;time = 1000383957
size = 3200;time = 1000383970
size = 3300;time = 1000384006
size = 3400;time = 1000383997
size = 3500;time = 1000384016
size = 3600;time = 1000384028
size = 3700;time = 1000384043
size = 3800;time = 1000384074
size = 3900;time = 1000384106
size = 4000;time = 1000384169
size = 4100;time = 1000384222
size = 4200;time = 1000384246
size = 4300;time = 1000384262
size = 4400;time = 1000384280
size = 4500;time = 1000384308
size = 4600;time = 1000384315
size = 4700;time = 1000384336
size = 4800;time = 1000384362
size = 4900;time = 1000384376
size = 5000;time = 1000384388
size = 5100;time = 1000384404
size = 5200;time = 1000384421
size = 5300;time = 1000384437
size = 5400;time = 1000384487
size = 5500;time = 1000384454
size = 5600;time = 1000384474
size = 5700;time = 1000384503
size = 5800;time = 1000384508
size = 5900;time = 1000384527
size = 6000;time = 1000384544
size = 6100;time = 1000384569
size = 6200;time = 1000384583
size = 6300;time = 1000384602
size = 6400;time = 1000384611
size = 6500;time = 1000384627
size = 6600;time = 1000384642
size = 6700;time = 1000384663
size = 6800;time = 1000384681
size = 6900;time = 1000384694
size = 7000;time = 1000384713
size = 7100;time = 1000384732
size = 7200;time = 1000384748
size = 7300;time = 1000384772
size = 7400;time = 1000384783
size = 7500;time = 1000384805
size = 7600;time = 1000384822
size = 7700;time = 1000384852
size = 7800;time = 1000384924
size = 7900;time = 1000384968
size = 8000;time = 1000385026
size = 8100;time = 1000385092
size = 8200;time = 1000385188
size = 8300;time = 1000385179
size = 8400;time = 1000385208
size = 8500;time = 1000385217
size = 8600;time = 1000385223
size = 8700;time = 1000385243
size = 8800;time = 1000385258
size = 8900;time = 1000385292
size = 9000;time = 1000385318
size = 9100;time = 1000385322
size = 9200;time = 1000385330
size = 9300;time = 1000385345
size = 9400;time = 1000385364
size = 9500;time = 1000385423
size = 9600;time = 1000385434
size = 9700;time = 1000385514
size = 9800;time = 1000385458
size = 9900;time = 1000385463
size = 10000;time = 1000385511
