size = 500;time = 1000383641
size = 600;time = 1000383679
size = 700;time = 1000383723
size = 800;time = 1000383768
size = 900;time = 1000383814
size = 1000;time = 1000383858
size = 1100;time = 1000383907
size = 1200;time = 1000383955
size = 1300;time = 1000383984
size = 1400;time = 1000384035
size = 1500;time = 1000384090
size = 1600;time = 1000384141
size = 1700;time = 1000384185
size = 1800;time = 1000384233
size = 1900;time = 1000384280
size = 2000;time = 1000384324
size = 2100;time = 1000384373
size = 2200;time = 1000384392
size = 2300;time = 1000384457
size = 2400;time = 1000384507
size = 2500;time = 1000384534
size = 2600;time = 1000384587
size = 2700;time = 1000384645
size = 2800;time = 1000384687
size = 2900;time = 1000384735
size = 3000;time = 1000384776
size = 3100;time = 1000384824
size = 3200;time = 1000384883
size = 3300;time = 1000384932
size = 3400;time = 1000384980
size = 3500;time = 1000385018
size = 3600;time = 1000385065
size = 3700;time = 1000385108
size = 3800;time = 1000385182
size = 3900;time = 1000385209
size = 4000;time = 1000385274
size = 4100;time = 1000385312
size = 4200;time = 1000385372
size = 4300;time = 1000385407
size = 4400;time = 1000385441
size = 4500;time = 1000385519
size = 4600;time = 1000385548
size = 4700;time = 1000385627
size = 4800;time = 1000385676
size = 4900;time = 1000385727
size = 5000;time = 1000385764
size = 5100;time = 1000385791
size = 5200;time = 1000385835
size = 5300;time = 1000385878
size = 5400;time = 1000385916
size = 5500;time = 1000386005
size = 5600;time = 1000386036
size = 5700;time = 1000386094
size = 5800;time = 1000386152
size = 5900;time = 1000386227
size = 6000;time = 1000386286
size = 6100;time = 1000386281
size = 6200;time = 1000386339
size = 6300;time = 1000386388
size = 6400;time = 1000386461
size = 6500;time = 1000386548
size = 6600;time = 1000386663
size = 6700;time = 1000386639
size = 6800;time = 1000386686
size = 6900;time = 1000386811
size = 7000;time = 1000386815
size = 7100;time = 1000386841
size = 7200;time = 1000386881
size = 7300;time = 1000386985
size = 7400;time = 1000387004
size = 7500;time = 1000387000
size = 7600;time = 1000387049
size = 7700;time = 1000387060
size = 7800;time = 1000387106
size = 7900;time = 1000387115
size = 8000;time = 1000387154
size = 8100;time = 1000387246
size = 8200;time = 1000387304
size = 8300;time = 1000387331
size = 8400;time = 1000387397
size = 8500;time = 1000387467
size = 8600;time = 1000387510
size = 8700;time = 1000387604
size = 8800;time = 1000387615
size = 8900;time = 1000387645
size = 9000;time = 1000387699
size = 9100;time = 1000387687
size = 9200;time = 1000387799
size = 9300;time = 1000387900
size = 9400;time = 1000387936
size = 9500;time = 1000387936
size = 9600;time = 1000388015
size = 9700;time = 1000388057
size = 9800;time = 1000388108
size = 9900;time = 1000388131
size = 10000;time = 1000388243
