size = 500;time = 1000383660
size = 600;time = 1000383706
size = 700;time = 1000383751
size = 800;time = 1000383800
size = 900;time = 1000383841
size = 1000;time = 1000383889
size = 1100;time = 1000383937
size = 1200;time = 1000383991
size = 1300;time = 1000384048
size = 1400;time = 1000384101
size = 1500;time = 1000384162
size = 1600;time = 1000384210
size = 1700;time = 1000384267
size = 1800;time = 1000384315
size = 1900;time = 1000384371
size = 2000;time = 1000384392
size = 2100;time = 1000384446
size = 2200;time = 1000384504
size = 2300;time = 1000384557
size = 2400;time = 1000384604
size = 2500;time = 1000384659
size = 2600;time = 1000384715
size = 2700;time = 1000384762
size = 2800;time = 1000384825
size = 2900;time = 1000384869
size = 3000;time = 1000384913
size = 3100;time = 1000384964
size = 3200;time = 1000385025
size = 3300;time = 1000385103
size = 3400;time = 1000385175
size = 3500;time = 1000385215
size = 3600;time = 1000385251
size = 3700;time = 1000385306
size = 3800;time = 1000385338
size = 3900;time = 1000385410
size = 4000;time = 1000385474
size = 4100;time = 1000385537
size = 4200;time = 1000385566
size = 4300;time = 1000385623
size = 4400;time = 1000385649
size = 4500;time = 1000385732
size = 4600;time = 1000385819
size = 4700;time = 1000385861
size = 4800;time = 1000385884
size = 4900;time = 1000385925
size = 5000;time = 1000385970
size = 5100;time = 1000386033
size = 5200;time = 1000386098
size = 5300;time = 1000386187
size = 5400;time = 1000386243
size = 5500;time = 1000386295
size = 5600;time = 1000386364
size = 5700;time = 1000386376
size = 5800;time = 1000386409
size = 5900;time = 1000386480
size = 6000;time = 1000386564
size = 6100;time = 1000386596
size = 6200;time = 1000386625
size = 6300;time = 1000386692
size = 6400;time = 1000386756
size = 6500;time = 1000386799
size = 6600;time = 1000386848
size = 6700;time = 1000386920
size = 6800;time = 1000386992
size = 6900;time = 1000387043
size = 7000;time = 1000387058
size = 7100;time = 1000387139
size = 7200;time = 1000387165
size = 7300;time = 1000387226
size = 7400;time = 1000387308
size = 7500;time = 1000387373
size = 7600;time = 1000387434
size = 7700;time = 1000387478
size = 7800;time = 1000387551
size = 7900;time = 1000387592
size = 8000;time = 1000387636
size = 8100;time = 1000387693
size = 8200;time = 1000387748
size = 8300;time = 1000388166
size = 8400;time = 1000387885
size = 8500;time = 1000387945
size = 8600;time = 1000387943
size = 8700;time = 1000388050
size = 8800;time = 1000388057
size = 8900;time = 1000388300
size = 9000;time = 1000388259
size = 9100;time = 1000388249
size = 9200;time = 1000388310
size = 9300;time = 1000388372
size = 9400;time = 1000388402
size = 9500;time = 1000388481
size = 9600;time = 1000388538
size = 9700;time = 1000388588
size = 9800;time = 1000388640
size = 9900;time = 1000388675
size = 10000;time = 1000388676
